Onset,Duration,Annotation
+0,19290,Sleep stage W
+19290,150,Sleep stage 1
+19440,900,Sleep stage 2
+20340,30,Sleep stage 1
+20370,510,Sleep stage 2
+20880,60,Sleep stage 3
+20940,30,Sleep stage 2
+20970,120,Sleep stage 4
+21090,30,Sleep stage 3
+21120,30,Sleep stage 4
+21150,30,Sleep stage 3
+21180,30,Sleep stage 4
+21210,90,Sleep stage 3
+21300,30,Sleep stage 4
+21330,120,Sleep stage 3
+21450,90,Sleep stage 4
+21540,60,Sleep stage 3
+21600,90,Sleep stage 2
+21690,30,Sleep stage 1
+21720,390,Sleep stage 2
+22110,60,Sleep stage 3
+22170,60,Sleep stage 2
+22230,60,Sleep stage 3
+22290,30,Sleep stage 2
+22320,30,Sleep stage 3
+22350,60,Sleep stage 2
+22410,60,Sleep stage 3
+22470,60,Sleep stage 2
+22530,90,Sleep stage 3
+22620,30,Sleep stage 4
+22650,120,Sleep stage 3
+22770,330,Sleep stage 2
+23100,90,Sleep stage 3
+23190,30,Sleep stage 2
+23220,60,Sleep stage 3
+23280,30,Sleep stage 2
+23310,30,Sleep stage 4
+23340,1020,Sleep stage 2
+24360,30,Sleep stage W
+24390,30,Sleep stage 1
+24420,780,Sleep stage 2
+25200,360,Sleep stage R
+25560,150,Sleep stage 1
+25710,180,Sleep stage 2
+25890,30,Sleep stage R
+25920,30,Sleep stage 2
+25950,480,Sleep stage R
+26430,30,Sleep stage 2
+26460,30,Sleep stage R
+26490,30,Sleep stage 2
+26520,60,Sleep stage 1
+26580,60,Sleep stage R
+26640,180,Sleep stage 1
+26820,420,Sleep stage 2
+27240,30,Sleep stage 3
+27270,390,Sleep stage 2
+27660,30,Sleep stage 3
+27690,60,Sleep stage 2
+27750,30,Sleep stage 3
+27780,60,Sleep stage 2
+27840,30,Sleep stage 3
+27870,30,Sleep stage 2
+27900,180,Sleep stage 3
+28080,30,Sleep stage 2
+28110,90,Sleep stage 3
+28200,30,Sleep stage 2
+28230,60,Sleep stage 3
+28290,180,Sleep stage 2
+28470,30,Sleep stage 3
+28500,30,Sleep stage 2
+28530,330,Sleep stage 3
+28860,30,Sleep stage 4
+28890,240,Sleep stage 3
+29130,90,Sleep stage 4
+29220,30,Sleep stage 3
+29250,90,Sleep stage W
+29340,30,Sleep stage 1
+29370,1020,Sleep stage 2
+30390,30,Sleep stage 1
+30420,870,Sleep stage 2
+31290,30,Sleep stage 1
+31320,720,Sleep stage 2
+32040,90,Sleep stage R
+32130,60,Sleep stage 1
+32190,270,Sleep stage R
+32460,60,Sleep stage 1
+32520,30,Sleep stage W
+32550,30,Sleep stage 1
+32580,150,Sleep stage 2
+32730,420,Sleep stage R
+33150,150,Sleep stage 1
+33300,150,Sleep stage 2
+33450,420,Sleep stage R
+33870,60,Sleep stage 1
+33930,690,Sleep stage R
+34620,30,Sleep stage 1
+34650,120,Sleep stage R
+34770,60,Sleep stage 1
+34830,120,Sleep stage 2
+34950,540,Sleep stage W
+35490,150,Sleep stage 1
+35640,540,Sleep stage 2
+36180,30,Sleep stage 1
+36210,960,Sleep stage 2
+37170,30,Sleep stage 3
+37200,60,Sleep stage 2
+37260,30,Sleep stage 3
+37290,90,Sleep stage 2
+37380,180,Sleep stage 3
+37560,30,Sleep stage 2
+37590,120,Sleep stage 3
+37710,30,Sleep stage 2
+37740,30,Sleep stage W
+37770,30,Sleep stage 1
+37800,30,Sleep stage 2
+37830,60,Sleep stage W
+37890,30,Sleep stage 1
+37920,1680,Sleep stage 2
+39600,30,Sleep stage 1
+39630,330,Sleep stage 2
+39960,30,Sleep stage W
+39990,60,Sleep stage 1
+40050,30,Sleep stage W
+40080,30,Sleep stage 1
+40110,390,Sleep stage 2
+40500,240,Sleep stage R
+40740,60,Sleep stage 1
+40800,30,Sleep stage 2
+40830,120,Sleep stage R
+40950,60,Sleep stage 1
+41010,180,Sleep stage R
+41190,30,Sleep stage 1
+41220,450,Sleep stage R
+41670,150,Sleep stage 1
+41820,30,Sleep stage 2
+41850,60,Sleep stage 1
+41910,420,Sleep stage 2
+42330,30,Sleep stage 1
+42360,150,Sleep stage 2
+42510,30,Sleep stage 1
+42540,30,Sleep stage R
+42570,30,Sleep stage W
+42600,30,Sleep stage 1
+42630,1230,Sleep stage 2
+43860,60,Sleep stage 1
+43920,1140,Sleep stage 2
+45060,120,Sleep stage R
+45180,30,Sleep stage W
+45210,90,Sleep stage 1
+45300,30,Sleep stage W
+45330,90,Sleep stage 1
+45420,480,Sleep stage 2
+45900,60,Sleep stage 1
+45960,120,Sleep stage W
+46080,30,Sleep stage 1
+46110,300,Sleep stage 2
+46410,30,Sleep stage 1
+46440,120,Sleep stage W
+46560,210,Sleep stage 1
+46770,360,Sleep stage 2
+47130,1170,Sleep stage R
+48300,60,Sleep stage W
+48360,60,Sleep stage 1
+48420,480,Sleep stage 2
+48900,30,Sleep stage W
+48930,90,Sleep stage 1
+49020,1080,Sleep stage 2
+50100,60,Sleep stage 1
+50160,1110,Sleep stage 2
+51270,34170,Sleep stage W
+85440,960,Sleep stage ?
